node1,node2,startLoc,endLoc,length,endNodeL,startNodeL,startYear,endYear,cladeID
6,1,Kings,Nassau,0.00208999999999999,0.00208999999999999,0,2021.24306140099,2021.24515140099,Alpha_664
6,7,Kings,Kings,0.00127025499900001,0.00127025499900001,0,2021.24306140099,2021.24433165599,Alpha_664
7,2,Kings,Kings,0.000819745001299998,0.0020900000003,0.00127025499900001,2021.24433165599,2021.24515140099,Alpha_664
7,8,Kings,Kings,0.020529745,0.021799999999,0.00127025499900001,2021.24433165599,2021.26486140099,Alpha_664
8,3,Kings,Kings,0.000289999999999999,0.022089999999,0.021799999999,2021.26486140099,2021.26515140099,Alpha_664
8,9,Kings,Kings,0.03059990869,0.052399908689,0.021799999999,2021.26486140099,2021.29546130968,Alpha_664
9,4,Kings,Kings,0.001690091315,0.054090000004,0.052399908689,2021.29546130968,2021.297151401,Alpha_664
9,5,Kings,Queens,0.05669009131,0.109089999999,0.052399908689,2021.29546130968,2021.35215140099,Alpha_664
4,1,Westchester,Westchester,0.0003145551736,0.0003145551736,0,2021.10117616438,2021.10149071955,Alpha_700
4,5,Westchester,Westchester,0.003254555174,0.003254555174,0,2021.10117616438,2021.10443071955,Alpha_700
5,2,Westchester,Westchester,0.0000599999999100001,0.00331455517391,0.003254555174,2021.10443071955,2021.10449071955,Alpha_700
5,3,Westchester,Westchester,0.01106,0.014314555174,0.003254555174,2021.10443071955,2021.11549071955,Alpha_700
5,6,Queens,Westchester,0.14898,0.14898,0,2021.14153971601,2021.29051971601,Alpha_727
5,4,Queens,Queens,0.07523,0.07523,0,2021.14153971601,2021.21676971601,Alpha_727
6,1,Westchester,Westchester,0.00025,0.14923,0.14898,2021.29051971601,2021.29076971601,Alpha_727
6,7,Westchester,Westchester,0.01530126242,0.16428126242,0.14898,2021.29051971601,2021.30582097843,Alpha_727
7,3,Westchester,Westchester,0.000948737584500009,0.1652300000045,0.16428126242,2021.30582097843,2021.30676971601,Alpha_727
7,2,Westchester,Westchester,0.01494873758,0.17923,0.16428126242,2021.30582097843,2021.32076971601,Alpha_727
5,6,Queens,Queens,0.05580625256,0.05580625256,0,2021.13329666194,2021.1891029145,Alpha_657
5,7,Queens,Queens,0.05305864534,0.05305864534,0,2021.13329666194,2021.18635530728,Alpha_657
