node1,node2,startLoc,endLoc,length,endNodeL,startNodeL,startYear,endYear,cladeID
6,1,NewYork,NewYork,0.0000199999999800013,0.0000199999999800013,0,2021.01818205479,2021.01820205479,O-BA1_1699
6,7,NewYork,NewYork,0.00637,0.00637,0,2021.01818205479,2021.02455205479,O-BA1_1699
7,8,NewYork,NewYork,0.00185,0.00822,0.00637,2021.02455205479,2021.02640205479,O-BA1_1699
7,9,NewYork,NewYork,0.00185,0.00822,0.00637,2021.02455205479,2021.02640205479,O-BA1_1699
8,2,NewYork,Kings,0.0008,0.00902,0.00822,2021.02640205479,2021.02720205479,O-BA1_1699
9,4,NewYork,NewYork,0.0008,0.00902,0.00822,2021.02640205479,2021.02720205479,O-BA1_1699
9,5,NewYork,Queens,0.0058,0.01402,0.00822,2021.02640205479,2021.03220205479,O-BA1_1699
8,3,NewYork,NewYork,0.0118,0.02002,0.00822,2021.02640205479,2021.03820205479,O-BA1_1699
8,9,NewYork,Suffolk,0.05292133982,0.05292133982,0,2021.07494191781,2021.12786325763,Delta_581
8,11,NewYork,NewYork,0.00228,0.00228,0,2021.07494191781,2021.07722191781,Delta_581
11,12,NewYork,NewYork,0.00273999999999999,0.00502,0.00228,2021.07722191781,2021.07996191781,Delta_581
12,13,NewYork,NewYork,0.00548000000000001,0.0105,0.00502,2021.07996191781,2021.08544191781,Delta_581
9,10,Suffolk,Suffolk,0.00140866017800001,0.054329999998,0.05292133982,2021.12786325763,2021.12927191781,Delta_581
11,4,NewYork,Kings,0.11175,0.11403,0.00228,2021.07722191781,2021.18897191781,Delta_581
12,5,NewYork,NewYork,0.11201,0.11703,0.00502,2021.07996191781,2021.19197191781,Delta_581
13,7,NewYork,Richmond,0.11153,0.12203,0.0105,2021.08544191781,2021.19697191781,Delta_581
13,6,NewYork,Nassau,0.11753,0.12803,0.0105,2021.08544191781,2021.20297191781,Delta_581
10,3,Suffolk,Suffolk,0.1117,0.166029999998,0.054329999998,2021.12927191781,2021.24097191781,Delta_581
9,1,Suffolk,Suffolk,0.1131086602,0.16603000002,0.05292133982,2021.12786325763,2021.24097191783,Delta_581
10,2,Suffolk,Suffolk,0.1197,0.174029999998,0.054329999998,2021.12927191781,2021.24897191781,Delta_581
10,11,NewYork,Westchester,0.00165736470899999,0.00165736470899999,0,2021.08792109589,2021.0895784606,Alpha_367
10,13,NewYork,NewYork,0.00165736470899999,0.00165736470899999,0,2021.08792109589,2021.0895784606,Alpha_367
